"번호","지역","상호","주소","기간","상표","셀프여부","고급휘발유","휘발유","경유","실내등유"
"A0032122","부산 강서구","김해공항주유소","부산 강서구 공항진입로 25 (대저2동)","20220816","GS칼텍스","셀프","0","1715","1822","1580"
"A0032122","부산 강서구","김해공항주유소","부산 강서구 공항진입로 25 (대저2동)","20220817","GS칼텍스","셀프","0","1715","1817","1580"
"A0033060","부산 강서구","내트럭(주) 부산신항남컨사업소","부산 강서구 신항남로 507","20220810","SK에너지","일반","0","1829","1909","0"
"A0033060","부산 강서구","내트럭(주) 부산신항남컨사업소","부산 강서구 신항남로 507","20220811","SK에너지","일반","0","1829","1909","0"
"A0033060","부산 강서구","내트럭(주) 부산신항남컨사업소","부산 강서구 신항남로 507","20220812","SK에너지","일반","0","1829","1909","0"
"A0033060","부산 강서구","내트럭(주) 부산신항남컨사업소","부산 강서구 신항남로 507","20220813","SK에너지","일반","0","1809","1889","0"
"A0033060","부산 강서구","내트럭(주) 부산신항남컨사업소","부산 강서구 신항남로 507","20220814","SK에너지","일반","0","1809","1889","0"
"A0033060","부산 강서구","내트럭(주) 부산신항남컨사업소","부산 강서구 신항남로 507","20220815","SK에너지","일반","0","1809","1889","0"
"A0033060","부산 강서구","내트럭(주) 부산신항남컨사업소","부산 강서구 신항남로 507","20220816","SK에너지","일반","0","1809","1889","0"
"A0033060","부산 강서구","내트럭(주) 부산신항남컨사업소","부산 강서구 신항남로 507","20220817","SK에너지","일반","0","1799","1879","0"
"A0027534","부산 강서구","녹산화물터미널주유소","부산 강서구 녹산산업북로 119 (송정동)","20220810","GS칼텍스","일반","0","1819","1945","0"
"A0027534","부산 강서구","녹산화물터미널주유소","부산 강서구 녹산산업북로 119 (송정동)","20220811","GS칼텍스","일반","0","1798","1898","0"
"A0027534","부산 강서구","녹산화물터미널주유소","부산 강서구 녹산산업북로 119 (송정동)","20220812","GS칼텍스","일반","0","1798","1898","0"
"A0027534","부산 강서구","녹산화물터미널주유소","부산 강서구 녹산산업북로 119 (송정동)","20220813","GS칼텍스","일반","0","1798","1898","0"
"A0027534","부산 강서구","녹산화물터미널주유소","부산 강서구 녹산산업북로 119 (송정동)","20220814","GS칼텍스","일반","0","1798","1898","0"
"A0027534","부산 강서구","녹산화물터미널주유소","부산 강서구 녹산산업북로 119 (송정동)","20220815","GS칼텍스","일반","0","1798","1898","0"
"A0027534","부산 강서구","녹산화물터미널주유소","부산 강서구 녹산산업북로 119 (송정동)","20220816","GS칼텍스","일반","0","1798","1898","0"
"A0027534","부산 강서구","녹산화물터미널주유소","부산 강서구 녹산산업북로 119 (송정동)","20220817","GS칼텍스","일반","0","1798","1945","0"
"A0027637","부산 강서구","대경산업(주) 구랑주유소","부산 강서구 가락대로 546 (구랑동)","20220810","GS칼텍스","셀프","0","1748","1849","0"
"A0027637","부산 강서구","대경산업(주) 구랑주유소","부산 강서구 가락대로 546 (구랑동)","20220811","GS칼텍스","셀프","0","1748","1849","0"
"A0027637","부산 강서구","대경산업(주) 구랑주유소","부산 강서구 가락대로 546 (구랑동)","20220812","GS칼텍스","셀프","0","1728","1829","0"
"A0027637","부산 강서구","대경산업(주) 구랑주유소","부산 강서구 가락대로 546 (구랑동)","20220813","GS칼텍스","셀프","0","1728","1829","0"
"A0027637","부산 강서구","대경산업(주) 구랑주유소","부산 강서구 가락대로 546 (구랑동)","20220814","GS칼텍스","셀프","0","1728","1829","0"
"A0027637","부산 강서구","대경산업(주) 구랑주유소","부산 강서구 가락대로 546 (구랑동)","20220815","GS칼텍스","셀프","0","1728","1829","0"
"A0027637","부산 강서구","대경산업(주) 구랑주유소","부산 강서구 가락대로 546 (구랑동)","20220816","GS칼텍스","셀프","0","1728","1829","0"
"A0027637","부산 강서구","대경산업(주) 구랑주유소","부산 강서구 가락대로 546 (구랑동)","20220817","GS칼텍스","셀프","0","1698","1799","0"
"A0027672","부산 강서구","대양산업(주)대양가덕주유소","부산 강서구 거가대로 2571  (천성동)","20220810","GS칼텍스","셀프","0","1837","1937","0"
"A0027672","부산 강서구","대양산업(주)대양가덕주유소","부산 강서구 거가대로 2571  (천성동)","20220811","GS칼텍스","셀프","0","1837","1937","0"
"A0027672","부산 강서구","대양산업(주)대양가덕주유소","부산 강서구 거가대로 2571  (천성동)","20220812","GS칼텍스","셀프","0","1837","1937","0"
"A0027672","부산 강서구","대양산업(주)대양가덕주유소","부산 강서구 거가대로 2571  (천성동)","20220813","GS칼텍스","셀프","0","1837","1937","0"
"A0027672","부산 강서구","대양산업(주)대양가덕주유소","부산 강서구 거가대로 2571  (천성동)","20220814","GS칼텍스","셀프","0","1837","1937","0"
"A0027672","부산 강서구","대양산업(주)대양가덕주유소","부산 강서구 거가대로 2571  (천성동)","20220815","GS칼텍스","셀프","0","1837","1937","0"
