에스씨(주) 새문주유소,부산 사상구 학감대로 30 (학장동),"X :128.996197, Y :35.1363245 "
에스이주유소,부산 사하구 감천항로 227,"X :128.991026, Y :35.0730028"
에이원주유소,부산 금정구 반송로 364 (서동),"X :129.105813, Y :35.2109231 "
엔씨네트웍스(주)직영주유소,부산 사상구 사상로 105,"X :128.990078, Y :35.1562599"
연제주유소,부산 연제구 연수로 87,"X :129.080254, Y :35.1756974"
영선주유소,부산 영도구 영선대로 63 (영선동3가),"X :129.041157, Y :35.0867777 "
영우에너지 부전주유소,부산 부산진구 신천대로 132,"X :129.052931, Y :35.1541121 "
영웅주유소,부산 연제구 온천천남로 86 (연산동),"X :129.099856, Y :35.1910932 "
오봉주유소,부산 강서구 호계로 1 (죽림동),"X :128.901089, Y :35.1959436 "
오성주유소,부산 기장군 일광면 일광로 722,"X :129.256833, Y :35.3061800"
오시리아주유소,부산 해운대구 해운대로 1226 (송정동),"X :129.205645, Y :35.1943856"
오케이주유소,부산 사하구 사하로 150 (괴정동),"X :128.993587, Y :35.0949315"
온천주유소,부산 동래구 명륜로 2,"X :129.084697, Y :35.21078"
용마주유소,부산 사상구 가야대로 329 (주례동),"X :129.008653, Y :35.1512674 "
용문주유소,부산 기장군 일광면 기장대로 710,"X :129.225627, Y :35.2576388 "
우리2주유소,부산 강서구 낙동북로 142 (강동동),"X :128.944388, Y :35.2153255 "
우리들주유소,부산 강서구 낙동남로 667 (녹산동),"X :128.889731, Y :35.1182947"
우리주유소,부산 사상구 백양대로 701 (덕포동),"X :128.988063, Y :35.1695041 "
우암로셀프주유소,부산 남구 우암로 232 (우암동),"X :129.071528, Y :35.1254363 "
우암주유소,부산 남구 우암로 204,"X :129.074599, Y :35.1250053 "
월드주유소,부산 기장군 기장읍 반송로 1559,"X :129.210252, Y :35.2485400 "
월드컵주유소,부산 기장군 일광면 기장대로 1230,"X :129.239136, Y :35.3030396"
유성에너지(주)풍경주유소,부산 강서구 낙동남로 432,"X :128.867327, Y :35.1117566 "
유성주유소,부산 강서구 생곡로 337 (생곡동),"X :128.878716, Y :35.1382651"
유원주유소,부산 수영구 광일로 8,"X :129.113314, Y :35.1622119 "
은마석유 (주)부산신항주유소,부산 강서구 가락대로 706,"X :128.869635, Y :35.1369185 "
은마석유 경기장주유소,부산 강서구 낙동북로 364 (대저1동),"X :128.968069, Y :35.2119331"
은마석유 노포주유소,부산 금정구 중앙대로 2191 (노포동),"X :129.093106, Y :35.2800805 "
은마석유(주) 대영주유소,부산 기장군 정관면 정관로 249,"X :129.159431, Y :35.3447867 "
은마석유(주) 제일주유소,부산 부산진구 거제대로 84 (양정동),"X :129.068071, Y :35.1761222 "
은마석유(주) 항도주유소,부산 부산진구 신암로 14 (범천동),"X :129.056245, Y :35.1431970 "
은마석유(주)금곡대로주유소,부산 북구 금곡대로 712 (금곡동),"X :129.018795, Y :35.2703130 "
은마석유(주)삼양주유소,부산 해운대구 해운대로 1249 (송정동),"X :129.205401, Y :35.1963185"
은마석유(주)신호주유소,부산 강서구  낙동남로 514 (화전동),"X :128.876495, Y :35.1121829 "
은마석유(주)아시아드주유소,부산 연제구  거제대로 130 (거제동),"X :129.069388, Y :35.1800378"
은마석유(주)직영 강서주유소,부산 강서구 공항로 483 (대저2동),"X :128.952871, Y :35.1508272"
은마석유주식회사,부산 남구 신선로 351 (용당동),"X :129.095170, Y :35.1174964 "
의학원self주유소,부산 기장군 장안읍 좌동길 47,"X :129.242053, Y :35.3215122 "
이왕주유소,부산 강서구 대저로255번길 21 (대저1동),"X :128.980676, Y :35.2147014 "
인성주유소,부산 수영구 연수로 250 (망미동),"X :129.097998, Y :35.1730124 "
인터지스(주)인터지스주유소,부산 남구 신선로 173 (감만동),"X :129.083698, Y :35.1110255 "
자이주유소,부산 연제구 과정로 325 (연산동),"X :129.092030, Y :35.1893993 "
